koso;emphasis
sae;even
shika;only
sura;even
kurai;approximately, about
dake;only, as much as
datte;however
ttara [colloquial form of to ittara;casual topic marker
tte;said that
demo;also, or
particle used to indicate that what precedes it is an extreme example and strongly negates it;
nado;for example
nara;if [for verbs]\; subject marker [for nouns]
nanka;casual undervalue, dislike, lack
nante;casual undervalue, dislike, lack
wa [although ha is the hiragana used, wa is the pronunciation;topic marker
bakari;just, full of, only
made;until
mo;too, also
