doobutsu;animal
chiitaa;cheetah
inu;dog
neko;cat
ushi;cow
buta;pig
uma;horse
hitsuji;sheep
saru;monkey
nezumi;mouse, rat
tora;tiger
ookami;wolf
usagi;rabbit
ryuu, tatsu;dragon
shika;deer
kaeru;frog
gama;toad
shishi;lion
kirin;giraffe
zoo;elephant
tori;bird
niwatori;chicken
suzume;sparrow
karasu;crow, raven
washi;eagle
taka;hawk, falcon
sakana;fish
tai;red snapper
ebi;shrimp, lobster
iwashi;sardine
maguro;tuna
katsuo;bonito
sanma;pike
aji;horse mackerel
saba;mackerel
ika;squid
tako;octopus
mushi;insect
choo;butterfly
ga;moth
semi;cicada
tonbo;dragonfly
batta;grasshopper
kumo;spider
hotaru;firefly
hae;housefly
ka;mosquito, gnat
gokiburi;cockroach
katatsumuri;snail
namekuji;slug
mimizu;earthworm
kai;shellfish
kaigara;shell
tokage;lizard
hebi;snake
kuma;bear
